StateAbbr,State,Question,Response,PopOver65,BothEmployed,BothUnemployed,PhysicalActivity,AlcoholConsumption,LessThanHS
AL,Alabama,Adults who have had at least one drink of alcohol within the past 30 days,Yes,4849377,401462,186424,6056,2887,1063
AK,Alaska,Adults who have had at least one drink of alcohol within the past 30 days,Yes,736732,69052,15810,3563,2385,232
AZ,Arizona,Adults who have had at least one drink of alcohol within the past 30 days,Yes,6731484,498422,278162,11484,7093,1129
AR,Arkansas,Adults who have had at least one drink of alcohol within the past 30 days,Yes,2966369,255166,116974,3418,1645,604
CA,California,Adults who have had at least one drink of alcohol within the past 30 days,Yes,38802500,3092928,983550,6185,4206,1084
CO,Colorado,Adults who have had at least one drink of alcohol within the past 30 days,Yes,5355866,540078,158022,11131,7260,767
CT,Connecticut,Adults who have had at least one drink of alcohol within the past 30 days,Yes,3596677,368804,96068,6286,4618,517
DE,Delaware,Adults who have had at least one drink of alcohol within the past 30 days,Yes,935614,84614,36590,3140,2068,401
DC,District of Columbia,Adults who have had at least one drink of alcohol within the past 30 days,Yes,658893,39590,8428,3210,2343,257
FL,Florida,Adults who have had at least one drink of alcohol within the past 30 days,Yes,19893297,1502696,874050,7393,4966,727
GA,Georgia,Adults who have had at least one drink of alcohol within the past 30 days,Yes,10097343,854196,283046,4691,2589,704
HI,Hawaii,Adults who have had at least one drink of alcohol within the past 30 days,Yes,1419561,117672,39838,5815,3533,347
ID,Idaho,Adults who have had at least one drink of alcohol within the past 30 days,Yes,1634464,157732,66720,4337,2307,381
IL,Illinois,Adults who have had at least one drink of alcohol within the past 30 days,Yes,12880580,1225250,358774,3845,2818,329
IN,Indiana,Adults who have had at least one drink of alcohol within the past 30 days,Yes,6596855,650546,213612,8309,4877,1011
IA,Iowa,Adults who have had at least one drink of alcohol within the past 30 days,Yes,3107126,376728,104926,6076,4205,488
KS,Kansas,Adults who have had at least one drink of alcohol within the past 30 days,Yes,2904021,313216,89410,10237,6447,836
KY,Kentucky,Adults who have had at least one drink of alcohol within the past 30 days,Yes,4413457,400652,179260,7626,3094,1211
LA,Louisiana,Adults who have had at least one drink of alcohol within the past 30 days,Yes,4649676,350150,139616,4662,2960,819
ME,Maine,Adults who have had at least one drink of alcohol within the past 30 days,Yes,1330089,140016,52506,7177,5010,470
MD,Maryland,Adults who have had at least one drink of alcohol within the past 30 days,Yes,5976407,591908,145950,9688,6217,688
MA,Massachusetts,Adults who have had at least one drink of alcohol within the past 30 days,Yes,6745408,692466,175456,12217,8671,985
MI,Michigan,Adults who have had at least one drink of alcohol within the past 30 days,Yes,9909877,884330,399666,6390,4588,455
MN,Minnesota,Adults who have had at least one drink of alcohol within the past 30 days,Yes,5457173,647446,174148,13072,9796,669
MS,Mississippi,Adults who have had at least one drink of alcohol within the past 30 days,Yes,2994079,233582,98526,2807,1303,582
MO,Missouri,Adults who have had at least one drink of alcohol within the past 30 days,Yes,6063589,583406,221716,5043,2757,703
MT,Montana,Adults who have had at least one drink of alcohol within the past 30 days,Yes,1023579,104450,40386,5840,3920,481
NE,Nebraska,Adults who have had at least one drink of alcohol within the past 30 days,Yes,1881503,229484,54868,16840,12053,1346
NV,Nevada,Adults who have had at least one drink of alcohol within the past 30 days,Yes,2839099,212214,89422,2910,1945,318
